AMR
"(d / dismiss-01
                              :ARG1 (d / disease
                                    :name (n2 / name
                                          :op1 ""COVID-19"")))))))"
"(a / affect-01
      :ARG0 (c / coronavirus)
      :ARG1 (c2 / category
            :quant 100
            :ARG1-of (g / grow-01
                  :ARG1-of (h / have-degree-91
                        :ARG2 (f / fast-02
                              :ARG1 g)
                        :ARG3 (m / most)))
            :ARG1-of (d / decline-01)
            :mod (t / top)
            :location (c3 / commerce)))"
"(m / multi-sentence
      :snt1 (a / absurd
            :domain (a2 / announce-01
                  :medium (p / PA)
                  :location (s / supermarket
                        :name (n / name
                              :op1 ""Woolworths""
                              :op2 ""Marrickville""
                              :op3 ""Metro""))
                  :ARG0-of (t / tell-01
                        :ARG1 (m2 / maintain-01
                              :ARG0 (p2 / person
                                    :ARG0-of (s2 / shop-01))
                              :ARG1 (d / distance-01
                                    :ARG1 p2))
                        :ARG2 p2)))
      :snt2 (h / have-quant-91
            :polarity -
            :ARG1 (r / room
                  :location (a3 / aisle
                        :part-of (s3 / supermarket)))
            :ARG3 (e / enough)
            :mod (j / just)))"
"(r / recommend-01
      :ARG1 (s / slash-02
            :ARG0 (p / person
                  :ARG0-of (m / make-01
                        :ARG1 (f / film))
                  :ARG0-of (d / depend-01
                        :polarity -))
            :ARG1 (m2 / monetary-quantity
                  :ARG2-of (p2 / price-01
                        :ARG1 (s2 / submit-01
                              :ARG0 p)))
            :ARG1-of (c / cause-01
                  :ARG0 (p3 / pandemic
                        :ord (o / ordinal-entity
                              :value 19)))))"
"(m / multi-sentence
      :snt1 (ii / important-01
            :ARG1 (s / safe-01)
            :time (o / or
                  :op1 (s2 / shop-01
                        :medium (o2 / online))
                  :op2 (t / trip-03
                        :ARG1 (s3 / store
                              :mod (g / grocery))))
            :mod (s4 / still))
      :snt2 (c / contrast-01
            :ARG1 (t2 / take-advantage-02
                  :ARG0 (p / person
                        :ARG0-of (d / defraud-01))
                  :ARG1 (v / virus
                        :mod (c2 / coronavirus)))
            :ARG2 (p2 / possible-01
                  :ARG1 (a / avoid-01
                        :ARG1 v
                        :instrument (p3 / product
                              :name (n / name
                                    :op1 ""CardValet""))))))"
"(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (t / take-01
                  :ARG0 (p2 / person
                        :ARG0-of (s / shop-01)
                        :location (s2 / state
                              :name (n / name
                                    :op1 ""New""
                                    :op2 ""Hampshire"")))
                  :ARG1 (b / bag
                        :ARG1-of (r / reuse-01
                              :ARG1-of p))
                  :poss p2)
            :ARG3 (o / or
                  :op1 (s3 / supermarket)
                  :op2 (s4 / store
                        :mod (o2 / other))))
      :time (n2 / no-longer)
      :snt2 (t2 / think-01
            :ARG0 (y / you)
            :ARG1 (ii / idea
                  :ARG1-of (g / good-02)
                  :domain (t3 / this))
            :polarity (a / amr-unknown)))"
"(m / multi-sentence
      :snt1 (a / allow-01
            :li 1
            :ARG1 (b / buy-01
                  :ARG0 (p / person)
                  :ARG1 (t / thing
                        :ARG1-of (n / need-01)
                        :quant (a2 / amount
                              :ARG1-of (l / limit-01))
                        :frequency (r / rate-entity-91
                              :ARG3 (t2 / temporal-quantity
                                    :quant 1
                                    :unit (d / day))))
                  :ARG2 (s / supermarket))
            :mod (o / only))
      :snt2 (r2 / recommend-01
            :li 3
            :ARG1 (g / give-01
                  :ARG0 (g2 / government-organization
                        :ARG0-of (g3 / govern-01))
                  :ARG1 (m2 / money
                        :ARG0-of (r3 / relieve-01))
                  :ARG2 (p2 / person
                        :ARG0-of (h / have-03
                              :ARG1 (j / job
                                    :ARG0-of (p3 / pay-01
                                          :ARG2 p2
                                          :frequency (r4 / rate-entity-91
                                                :ARG3 (t3 / temporal-quantity
                                                      :quant 1
                                                      :unit (d2 / day)))))))))
      :snt3 (r5 / recommend-01
            :ARG1 (l2 / lock-down-06
                  :ARG1 (a3 / area
                        :ARG1-of (r6 / risk-01
                              :ARG1-of (h2 / high-02))))))"
"(ii / increase-01
      :ARG1 (p / potential
            :purpose (r / return-06
                  :time (f / future)))
      :time (f2 / fall-01
            :ARG1 (p2 / price-01
                  :ARG1 (s / stock))))"
"(m / multi-sentence
      :snt1 (h / hear-01
            :ARG0 (ii / i)
            :ARG1 (s / story
                  :topic (o / obligate-01
                        :ARG1 (p / person
                              :ARG0-of (d / drive-01
                                    :ARG1 (s2 / supermarket))
                              :ARG0-of (d2 / deliver-01))
                        :ARG2 (c / call-02
                              :ARG0 p
                              :ARG1 (p2 / police))
                        :ARG1-of (c2 / cause-01
                              :ARG0 (f / follow-01
                                    :ARG0 (p3 / person)
                                    :ARG1 p
                                    :purpose (s3 / see-01
                                          :ARG0 p3
                                          :ARG1 (t / thing
                                                :location (w / wagon
                                                      :poss p))))))))
      :snt2 (a / and
            :op1 (t2 / think-01
                  :ARG0 (p4 / person
                        :quant 1
                        :ARG0-of (d3 / drive-01))
                  :ARG1 (r / rob-01
                        :ARG1 p4
                        :location (r2 / road
                              :name (n / name
                                    :op1 ""A19"")
                              :ARG1-of (n2 / near-02
                                    :ARG2 (c3 / city
                                          :name (n3 / name
                                                :op1 ""Sunderland""))))))
            :op2 (o2 / obligate-01
                  :ARG1 p4
                  :ARG2 (g / get-01
                        :ARG0 p4
                        :ARG1 (e / escort
                              :mod (p5 / police)))))
      :snt3 (w2 / wonder-01
            :ARG0 (ii2 / i)
            :ARG1 t
            :ARG1-of (g2 / go-on-15)))"
"(m / multi-sentence
      :snt1 (o / overpay-01
            :polarity -
            :mode imperative
            :ARG0 (y / you)
            :ARG3 (o2 / or
                  :op1 (g / good
                        :mod (h / household)
                        :mod (a / any)
                        :ARG1-of (p / personal-02))
                  :op2 (s / serve-02
                        :mod a)
                  :ARG1-of (n / need-01
                        :purpose (o3 / or
                              :op1 (t / treat-03
                                    :ARG2 (d / disease
                                          :name (n2 / name
                                                :op1 ""COVID""
                                                :op2 19)
                                          :mod (c / coronavirus)))
                              :op2 (l / limit-01
                                    :ARG1 (s2 / spread-02
                                          :ARG1 d))))))
      :snt2 (l2 / legal-02
            :polarity -
            :ARG1 (ii / increase-01
                  :ARG1 (t2 / thing
                        :ARG2-of (p2 / price-01
                              :ARG1 (a2 / and
                                    :op1 g
                                    :op2 (s3 / serve-02)
                                    :mod (t3 / this))))
                  :ARG2 (a3 / at-least
                        :op1 (p3 / percentage-entity
                              :value 10)))
            :ARG1-of (s4 / say-01
                  :ARG0 (l3 / law
                        :name n2
                        :op1 ""Consumer""
                        :op2 ""Protection""
                        :op3 ""Law"")
                  :poss (c2 / city))))"
"(m / multi-sentence
      :snt1 (a / agriculture)
      :snt2 (s / see-01
            :ARG0 (p / person
                  :ARG0-of (f / farm-01))
            :ARG1 (a2 / and
                  :op1 (r / rot-01
                        :ARG1 (p2 / produce
                              :poss p)
                        :location (f2 / field))
                  :op2 (w / wash-01
                        :ARG1 (d / dairy)
                        :ARG2 (d2 / drain)
                        :direction (d3 / down)))
            :time (r2 / rush-01
                  :ARG1 p
                  :ARG2 (a3 / and
                        :op1 (f3 / find-01
                              :ARG0 p
                              :ARG1 (a4 / area
                                    :ARG1-of (d4 / demand-01)))
                        :op2 (p3 / prevent-01
                              :ARG0 p
                              :ARG1 (c / close-01))))))"
"(p / person
      :name (n / name
            :op1 ""Daniel""
            :op2 ""Dale"")
      :time (d / date-entity
            :day 28
            :month 5
            :year 2020))"
"(c / contrast-01
      :ARG1 (m / make-05
            :ARG0 (p / person
                  :ARG0-of (w / work-01
                        :ARG1 (g / grocery))
                  :location (s / state
                        :name (n / name
                              :op1 ""Michigan""))
                  :ARG0-of (s2 / serve-02
                        :ARG1 (c2 / customer)
                        :time (p2 / pandemic
                              :mod (c3 / coronavirus))))
            :ARG1 (m2 / money
                  :quant (l / lot))
            :ARG2 (o / overtime))
      :ARG2 (w2 / wonder-01
            :ARG0 p
            :ARG1 (t / truth-value
                  :polarity-of (p3 / put-03
                        :ARG0 (j / job
                              :poss p)
                        :ARG1 p
                        :ARG2 (r / risk-01
                              :ARG0 p
                              :ARG2 (g2 / get-01
                                    :ARG0 p
                                    :ARG1 (v / virus))))
                  :mod (a / also))))"
"(c / contrast-01
      :ARG1 (s / stockpile-01
            :polarity -
            :ARG0 (p / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (ii / i)
                        :ARG2 (n / nana))
                  :age (t / temporal-quantity
                        :quant 79
                        :unit (y / year)))
            :ARG1 (o / or
                  :op1 (f / food)
                  :op2 (r / roll
                        :purpose (t2 / toilet))))
      :ARG2 (s2 / stock-up-02
            :ARG0 p
            :ARG1 (c2 / cupboard
                  :poss p)
            :ARG2 (h2 / horlicks
                  :quant (v / volume-quantity
                        :quant 2
                        :unit (t3 / tub
                              :ARG1-of (f2 / full-09))))))"
"(o / offer-01
      :ARG0 (r / restaurant
            :location (s / state
                  :name (n / name
                        :op1 ""Victoria"")))
      :ARG1 (s2 / stock
            :consist-of (f / food)
            :mod (e / entire)
            :poss r)
      :ARG3 (p / person
            :ARG2-of (s3 / staff-01))
      :time (c / close-01
            :ARG1 r
            :ARG1-of (c2 / cause-01
                  :ARG0 (ii / incident
                        :name (n2 / name
                              :op1 ""COVID-19"")))))"
"(u / urge-01
      :ARG1 (p / person
            :mod (c / city
                  :name (n / name
                        :op1 ""New""
                        :op2 ""York"")))
      :ARG2 (o / or
            :op1 (c2 / call-02
                  :ARG0 p
                  :ARG1 (p2 / phone-number-entity
                        :value ""1-800-697-1220""))
            :op2 (c3 / complete-01
                  :ARG0 p
                  :ARG1 (f / form
                        :mod (c4 / complain-01
                              :ARG0 (p3 / person
                                    :ARG0-of (c5 / consume-01)))))
            :purpose (r / report-01
                  :ARG0 p
                  :ARG1 (ii / increase-01
                        :ARG1 (p4 / price-01
                              :ARG1 (p5 / product
                                    :example (a / and
                                          :op1 (s / supply-01
                                                :ARG1 (c6 / clean-01
                                                      :mod (h / household)))
                                          :op2 p5
                                          :ARG0-of (s2 / sanitize-01
                                                :ARG1 (h2 / hand))))))
                  :ARG2 (f2 / fair-01
                        :polarity -)))
      :time (o2 / outbreak-29
            :name (n2 / name
                  :op1 ""COVID-19"")))"
"(m / multi-sentence
      :snt1 (p / person
            :ARG0-of (d / drive-01
                  :ARG1 (d2 / deliver-01
                        :ARG0 p
                        :ARG1 (f / food)))
            :domain (g / group
                  :mod (a / another)
                  :consist-of (p2 / person)
                  :location (f2 / front
                        :part-of (l / line
                              :name (n / name
                                    :op1 ""COVID-19"")))))
      :snt2 (l2 / leave-13
            :ARG0 (ii / increase-01
                  :ARG1 (d3 / demand-01)
                  :mod (h / huge))
            :ARG1 (w / worry-01
                  :ARG0 (s / safe-01
                        :ARG1 (t / they
                              :quant (m2 / many)
                              :ARG1-of w)))))"
"(b / be-temporally-at-91
      :ARG1 (h / hour
            :mod (s / store
                  :mod (g / grocery))
            :beneficiary (a / and
                  :op1 (p / person
                        :ARG1-of (c / compromise-02
                              :ARG2 (ii / immunocompromised-02
                                    :ARG1 p)))
                  :op2 (p2 / person
                        :mod (e / elderly)))
            :location (c2 / city
                  :name (n / name
                        :op1 ""Seattle"")))
      :ARG2 (d / date-interval
            :op1 (d2 / date-entity
                  :time ""7:00"")
            :op2 (d3 / date-entity
                  :time ""8:00"")))"
"(c / come-up-11
      :ARG0 (s / supermarket
            :mod (c2 / country
                  :name (n / name
                        :op1 ""Denmark"")))
      :ARG1 (t / trick-01
            :ARG2 (p / price-01)
            :ARG1-of (b / brilliant-01)
            :purpose (s2 / stop-01
                  :ARG0 s
                  :ARG1 (h / hoard-01
                        :ARG1 (s3 / sanitize-01
                              :ARG1 (h2 / hand))))))"
"(w / work-01
      :mod (s / still)
      :location (c / city
            :name (n / name
                  :op1 ""Olympia""))
      :time (f / fight-01
            :ARG1 (c2 / coronavirus)
            :ARG1-of (g / go-on-15)
            :ARG0-of (ii / impact-01
                  :ARG1 (p / policy-01
                        :ARG0 (s2 / state
                              :name (n2 / name
                                    :op1 ""Washington""))
                        :topic (a / and
                              :op1 (m / monetary-quantity
                                    :ARG2-of (p2 / price-01
                                          :ARG1 (ii2 / insulin)))
                              :op2 (t / tax
                                    :ARG1-of (p3 / pink-04))
                              :op3 (m2 / more)))
                  :time (t2 / time
                        :mod (t3 / this)))))"
"(m / multi-sentence
      :snt1 (h / have-03
            :ARG0 (m2 / mask
                  :mod (t / this))
            :ARG1 (d / date
                  :mod (e / expire-01
                        :ARG1 m2))
            :polarity (a / amr-unknown))
      :snt2 (p / possible-01
            :ARG1 (s / sanitize-01
                  :ARG0 (y / you)
                  :ARG1 (m3 / mask)
                  :manner (a2 / amr-unknown))
            :condition (b / buy-01
                  :ARG0 (e2 / everyone
                        :location (c / city
                              :poss y))
                  :ARG1 (p2 / product
                        :ARG0-of (s2 / sanitize-01
                              :ARG1 (h2 / hand))
                        :mod (a3 / all))))
      :snt3 (d2 / damage-01
            :ARG0 (b2 / bleach-01)
            :ARG1 (f / fiber)
            :polarity (a4 / amr-unknown)))"
"(p / place
      :domain (t / this)
      :location-of (l / likely-01
            :ARG1 (g / get-01
                  :ARG0 (y / you)
                  :ARG1 (o / or
                        :op1 (d / disease
                              :name (n / name
                                    :op1 ""COD""))
                        :op2 (d2 / disease
                              :name (n2 / name
                                    :op1 ""influenza"")
                              :ARG1-of (r / regular-03))
                        :op3 (c / cold))
                  :ARG2 (s / store
                        :mod (g2 / grocery)))
            :ARG1-of (c2 / cause-01
                  :ARG0 (a / and
                        :op1 (n3 / need-01
                              :ARG0 (w / we
                                    :mod (a2 / all))
                              :ARG1 (f / food))
                        :op2 (o2 / obligate-01
                              :ARG1 y
                              :ARG2 (b / be-located-at-91
                                    :ARG1 y
                                    :ARG2 (a3 / around
                                          :op1 (p2 / person
                                                :quant (l2 / lot)))))))
            :ARG2-of (h / have-degree-91
                  :ARG1 g
                  :ARG3 (m / most))))"
"(n / need-01
      :ARG0 (w / we)
      :ARG1 (r / rethink-01
            :ARG0 w
            :ARG1 (m / model-01
                  :ARG0 w
                  :ARG1 (e / economy))
            :manner (r2 / rapid))
      :ARG1-of (c / cause-01
            :ARG0 (v / virus
                  :mod (c2 / coronavirus))))"
"(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (w / want-01
                  :ARG0 (w2 / we)
                  :ARG1 (r / refund-01
                        :ARG2 w2
                        :ARG3 (f / fly-01
                              :ARG1-of (c2 / cancel-01
                                    :ARG1-of (c3 / cause-01
                                          :ARG0 (c4 / company
                                                :name (n / name
                                                      :op1 ""Covid-19"")))))
                        :mod (f2 / full)))
            :ARG2 (w3 / want-01
                  :polarity -
                  :ARG0 w2
                  :ARG1 (r2 / refund-01
                        :ARG2 w2
                        :mod (v / voucher))))
      :snt2 (c5 / complain-01
            :ARG0 (w4 / we)
            :ARG2 (a / authority
                  :mod (c6 / country
                        :name (n2 / name
                              :op1 ""Italy""))
                  :ARG0-of (r3 / responsible-01
                        :ARG1 (p / protect-01
                              :ARG1 (p2 / person
                                    :ARG0-of (c7 / consume-01)))))
            :condition (r4 / receive-01
                  :polarity -
                  :ARG0 w4
                  :ARG1 (r5 / refund-01
                        :ARG2 w4))))"
"(t / tip-05
      :quant 5
      :ARG0 (p / psychologist
            :mod (p2 / person
                  :ARG0-of (c / consume-01)))
      :ARG2 (r / recommend-01
            :ARG1 (r2 / respond-01
                  :ARG0 (b / brand)
                  :ARG1 (c2 / coronavirus)))
      :location (h / here))"
"(p / possible-01
      :ARG1 (h / help-01
            :ARG0 (y / you
                  :part (h2 / hand))
            :ARG1 (s / stop-01
                  :ARG0 y
                  :ARG1 (s2 / spread-02
                        :ARG1 (d / disease
                              :name (n / name
                                    :op1 ""coronavirus"")))
                  :manner (p2 / precaution-02
                        :ARG0 y
                        :example (a / and
                              :op1 (w / wash-01
                                    :ARG0 y
                                    :ARG1 h2)
                              :op2 (a2 / avoid-01
                                    :ARG0 y
                                    :ARG1 (c / contact-01
                                          :ARG0 y
                                          :ARG1 (p3 / person
                                                :ARG1-of (s3 / sick-05))
                                          :ARG1-of (c2 / close-10))))
                        :ARG1-of (s4 / simple-02)))))"
"(m / multi-sentence
      :snt1 (s / set-08
            :ARG1 (w / we)
            :ARG2 (h / hit-02
                  :ARG0 w
                  :ARG1 (r / road)
                  :time (t / today
                        :day 11
                        :month 4
                        :year 2020)
                  :purpose (r2 / reach-01
                        :ARG0 w
                        :ARG1 (f / family
                              :quant 200))))
      :snt2 (s2 / share-01
            :ARG0 (w2 / we)
            :ARG1 (u / update-02)
            :time (a / after
                  :op1 (n / now))
            :time (d / day)))"
"(c / concern-01
      :ARG0 (ii / impact-01
            :ARG0 (l / law
                  :name (n / name
                        :op1 ""COVID""
                        :op2 19))
            :ARG1 (r / right-05
                  :ARG1 (p / person
                        :ARG2-of (s / staff-01
                              :ARG1 (s2 / shop)))))
      :ARG1 (p2 / person
            :ARG1-of (e / expert-01
                  :ARG2 l)))"
"(m / multi-sentence
      :snt1 (s / shake-01
            :ARG0 (e / earthquake
                  :quant (s2 / seismic-quantity
                        :quant 4.9))
            :ARG1 (a / area
                  :ARG1-of (n / near-02
                        :ARG2 (c / county
                              :name (n2 / name
                                    :op1 ""Riverside""
                                    :op2 ""County""))))
            :time (l / late
                  :op1 (d / date-entity
                        :weekday (f / friday))))
      :snt2 (d2 / damage-01
            :polarity -
            :ARG0 (a2 / and
                  :op1 (b / bare-02
                        :ARG1 (s3 / shelf
                              :part-of (s4 / supermarket)))
                  :op2 (e2 / empty-02
                        :ARG1 (a3 / and
                              :op1 (b2 / bar)
                              :op2 (r / restaurant)
                              :op3 (c2 / church)
                              :op4 (t / theater)))))
      :snt3 (c3 / credit-01
            :ARG0 (p / person
                  :name (n3 / name
                        :op1 ""Trump""))
            :ARG1 (c4 / coronavirus
                  :poss (w / we)
                  :mod (m2 / marvelous))
            :ARG2 (s5 / save-02
                  :ARG0 c4
                  :ARG1 (l2 / life
                        :quant (m3 / multiple
                              :op1 1000)))
            :time (ii / immediate)))"
"(t / test-01
      :ARG1 (p / person
            :ARG1-of (e / employ-01
                  :ARG0 (l / location
                        :location (a / and
                              :op1 (l2 / location
                                    :name (n / name
                                          :op1 ""Westminster""))
                              :op2 (l3 / location
                                    :name (n2 / name
                                          :op1 ""Rutherford""))))))
      :ARG2 (p2 / positive)
      :ARG3 (p3 / percentage-entity
            :value 19))"
"(p / possible-01
      :ARG1 (c / consider-02
            :ARG0 (c2 / company
                  :name (n / name
                        :op1 ""Sugar""
                        :op2 ""Supermarkets""))
            :ARG1 (a / and
                  :op1 (a2 / and
                        :op1 (r / recruit-01
                              :ARG0 c2
                              :ARG1 (a3 / and
                                    :op1 (p2 / person
                                          :ARG0-of (p3 / pick-01
                                                :ARG1 (s / stock))
                                          :mod (e / extra))
                                    :op2 (p4 / person
                                          :ARG2-of (s2 / staff-01
                                                :ARG1 (d / deliver-01))
                                          :mod e)))
                        :op2 (t / train-01
                              :ARG0 c2
                              :ARG2 a3)
                        :op3 (h / hire-01
                              :ARG0 c2
                              :ARG1 (v / van
                                    :mod (s3 / standard)
                                    :mod (a4 / additional)
                                    :ARG0-of (h2 / have-03
                                          :polarity -
                                          :ARG1 (h3 / heater))))
                        :op4 (o / offer-01
                              :ARG0 c2
                              :ARG1 (d2 / deliver-01
                                    :ARG0 c2
                                    :ARG1 (o2 / order-01
                                          :ARG1-of (e2 / exclusive-02
                                                :ARG2 (ii / item
                                                      :ARG1-of (f / freeze-01)))))
                              :ARG3 (p5 / person
                                    :ARG0-of (s4 / shop-01)))
                        :op5 (p6 / prioritize-01
                              :ARG0 c2
                              :ARG1 (d3 / deliver-01
                                    :ARG0 c2
                                    :ARG2 (a5 / and
                                          :op1 (p7 / person
                                                :mod (e3 / elderly))
                                          :op2 (p8 / person
                                                :ARG1-of (v2 / vulnerable-01)))))))))"
"(p / push-01
      :ARG0 (c / close-01
            :ARG1 (f / facility
                  :mod (t / this))
            :accompanier (l / list
                  :ARG1-of (g / grow-01)
                  :consist-of (p2 / plant
                        :ARG1-of (s / shutter-01)
                        :mod (o / other)
                        :location (a / across
                              :op1 (ii / industry
                                    :poss (w / we))))))
      :ARG1 (c2 / country
            :poss w)
      :ARG2 (c3 / close-06
            :ARG1 c2
            :ARG2 (e / edge)
            :topic (s2 / supply-01
                  :ARG0 w
                  :ARG1 (m / meat))
            :manner (p3 / perilous)))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (g / go-02
                  :ARG0 (p / person
                        :ARG0-of (w / work-01
                              :ARG1 (h / healthcare)))
                  :ARG4 (w2 / work-01))
            :op2 (r / risk-01
                  :ARG0 p
                  :ARG2 (ii / infect-01
                        :ARG1 p
                        :ARG2 (c / coronavirus)))
            :purpose (g2 / good-04
                  :ARG1-of (h2 / have-degree-91
                        :ARG2 (g3 / great)
                        :ARG3 (m2 / more))))
      :snt2 (a2 / and
            :op1 (g4 / go-02
                  :ARG0 (p2 / person
                        :ARG0-of (w3 / work-01
                              :ARG1 (r2 / retail-01)))
                  :ARG4 (w4 / work-01
                        :ARG0 p2
                        :ARG2 (s / store
                              :mod (g5 / grocery)))
                  :purpose (p3 / possible-01
                        :ARG1 (g6 / get-01
                              :ARG0 (p4 / person)
                              :ARG1 (t / thing
                                    :mod (b / basic)
                                    :purpose (s2 / survive-01)
                                    :ARG1-of (n / need-01)))))
            :op2 (a3 / and
                  :op1 (g7 / go-02
                        :ARG0 (ii2 / i
                              :ARG1-of (e / employ-01
                                    :ARG0 (r3 / restaurant)))
                        :ARG4 w2)
                  :op2 (r4 / risk-01
                        :ARG0 ii2
                        :ARG2 (ii3 / infect-01
                              :ARG1 ii2))
                  :purpose (p5 / possible-01
                        :ARG1 (g8 / get-01
                              :ARG0 p4
                              :ARG1 (t2 / tender
                                    :mod (c2 / chicken)
                                    :poss p4))))))"
"(ii / interest-01
      :ARG2 (r / rely-01
            :ARG0 (p / person
                  :ARG0-of (c / consider-01
                        :ARG1 (p2 / person
                              :ARG0-of (w / work-01)
                              :domain (a / and
                                    :op1 (p3 / person
                                          :ARG0-of (c2 / care-03))
                                    :op2 (p4 / person
                                          :ARG0-of (d / drive-01
                                                :ARG1 (d2 / deliver-01)))
                                    :op3 (p5 / person
                                          :ARG2-of (s / staff-01
                                                :ARG1 (s2 / supermarket)))
                                    :op4 (p6 / person
                                          :ARG0-of (c3 / clean-01))))
                        :ARG2 (p7 / person
                              :ARG0-of (w2 / work-01)
                              :mod (s3 / skill
                                    :polarity -))))
            :ARG1 a
            :ARG2 (r2 / risk-01
                  :ARG0 a
                  :ARG2 (h / health
                        :poss a)
                  :time (p8 / pandemic
                        :name (n / name
                              :op1 ""CODID-19"")))
            :time (n2 / now)))"
"(a / affect-01
      :polarity -
      :ARG0 (d / decrease-01
            :ARG1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (c / carbon))
                  :location (c2 / continent
                        :name (n / name
                              :op1 ""Europe""))))
      :ARG1 (m / market
            :mod c
            :location (c3 / country
                  :name (n2 / name
                        :op1 ""Australia""))))"
"(m / material
      :ARG1-of (w / worth-02
            :ARG2 (r / read-01))
      :domain (t / this))"
"(a / and
      :op1 (ii / income
            :mod (b / basic)
            :domain (a2 / amr-unknown))
      :op2 (t / trigger-01
            :ARG0 (p / person
                  :ARG0-of (c / consume-01))
            :ARG1 (e / economy
                  :poss p)
            :manner (a3 / amr-unknown)
            :condition (p2 / possible-01
                  :polarity -
                  :ARG1 (g / get-01
                        :ARG0 p
                        :ARG1 (k / kit
                              :purpose (t2 / test-01
                                    :ARG1 (a4 / and
                                          :op1 (p3 / product
                                                :name (n / name
                                                      :op1 ""COVID-19""))
                                          :op2 (p4 / paper
                                                :purpose (t3 / toilet))
                                          :op3 (e2 / et-cetera)))
                              :location (h / home))))))"
"(c / confirm-01
      :ARG0 (c2 / company
            :name (n / name
                  :op1 ""Apple""))
      :ARG1 (p / possible-01
            :polarity -
            :ARG1 (p2 / pick-up-04
                  :ARG1 (d / device
                        :ARG1-of (l / leave-12
                              :ARG2 (r / repair-01
                                    :ARG1 d)
                              :location (s / store
                                    :mod (r2 / retail-01)))))
            :ARG1-of (c3 / cause-01
                  :ARG0 (l2 / law
                        :name (n2 / name
                              :op1 ""COVID-19"")))))"
"(b / begin-01
      :ARG0 (p / person
            :location (c / country
                  :name (n / name
                        :op1 ""United""
                        :op2 ""States"")))
      :ARG1 (b2 / buy-01
            :ARG0 p
            :manner (p2 / panic-01
                  :ARG1 p))
      :time (a / after
            :op1 (r / report-01
                  :ARG1 (ii / infect-01
                        :ARG1 p
                        :ARG2 (d / disease
                              :name (n2 / name
                                    :op1 ""CODID-19""))
                        :ord (o / ordinal-entity
                              :value 1)))))"
"(f / find-02
      :ARG0 (ii / i)
      :ARG1 (e / extort-01
            :ARG2 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (a / and
                              :op1 (s / sanitize-01
                                    :ARG1 (h / hand))
                              :op2 (t2 / thermometer)
                              :op3 (f2 / formula
                                    :beneficiary (b / baby))))))
      :concession (c / crack-down-06))"
"(a / affect-01
      :ARG0 (d / demand-01
            :ARG1 (t / tool
                  :purpose (w / work-01
                        :mod (r / remote))
                  :example (a2 / and
                        :op1 (n / notebook)
                        :op2 (s / smartphone)
                        :op3 (e / electronics
                              :mod (p / person
                                    :ARG0-of (c / consume-01))))))
      :ARG1 (g / giant
            :name (n2 / name
                  :op1 ""Micron""
                  :op2 ""Tech"")
            :mod (s2 / storage)
            :mod (m / memory))
      :manner (a3 / amr-unknown)
      :ARG1-of (c2 / cause-01
            :ARG0 (s3 / shift-01
                  :ARG0 (e2 / event
                        :name (n3 / name
                              :op1 ""COVID-19"")
                        :mod (p2 / pandemic))
                  :ARG1 (d2 / demand-01
                        :ARG1 (t2 / technology
                              :mod (ii / information)))
                  :ARG2 (d3 / demand-01
                        :ARG1 (d4 / dataCenter)))))"
"(a / arrive-01
      :ARG1 (o / order-02
            :ARG0 (ii / i)
            :ARG1 (s / shop-01
                  :ARG0 ii
                  :medium (o2 / online)))
      :accompanier (m / message-01
            :ARG0 (t / they)
            :ARG1 (c / cause-01
                  :ARG0 (l / lack-01
                        :ARG1 (p / paper
                              :purpose (t2 / toilet)))
                  :ARG1 (s2 / supply-01
                        :ARG0 t
                        :ARG1 (a2 / alternative)
                        :ARG2 ii
                        :instrument (n / newspaper
                              :name (n2 / name
                                    :op1 ""The""
                                    :op2 ""Sun""))))))"
"(c / contrast-01
      :ARG1 (t / think-01
            :ARG0 (ii / i)
            :ARG1 (s / stress-02
                  :ARG0 (a / and
                        :op1 (p / pandemic
                              :name (n / name
                                    :op1 ""COVID-19""))
                        :op2 (m / move-01
                              :ARG1 (c2 / class
                                    :poss ii
                                    :mod (a2 / all))
                              :ARG2 (o / online)))))
      :ARG2 (s2 / stress-02
            :ARG0 (a3 / and
                  :op1 (d / decide-01
                        :ARG1 (p2 / put-01
                              :ARG1 (t2 / turnip
                                    :poss ii
                                    :mod (a4 / all))
                              :ARG2 (m2 / market
                                    :mod (s3 / stalk))
                              :time (d2 / date-entity
                                    :weekday (s4 / sunday)
                                    :mod (p3 / past))))
                  :op2 (b / bug-02
                        :ARG1 (p4 / person
                              :mod (a5 / all)
                              :ARG0-of (h / have-rel-role-91
                                    :ARG1 ii
                                    :ARG2 (f / friend)))
                        :ARG2 (p5 / price-01
                              :ARG1 (t3 / turnip)
                              :ARG2 (g / good-02))
                        :purpose (s5 / sell-01
                              :ARG0 p4
                              :ARG1 t3)))
            :ARG1-of (r / real-04)))"
"(m / measure-02
      :ARG0 (g / government-organization
            :name (n / name
                  :op1 ""Ministry""
                  :op2 ""of""
                  :op3 ""Commerce""
                  :op4 ""and""
                  :op5 ""Industry"")
            :poss (c / country
                  :name (n2 / name
                        :op1 ""Qatar"")))
      :ARG1 (c2 / control-01
            :ARG0 g
