AMR
"(m / multi-sentence
                        :ARG0 (a / asshole
                              :domain (y2 / you))
                        :ARG1 (e2 / everything))))
      :snt3 (p5 / publication-91
            :ARG1 (u / urge-01
                  :ARG1 (p6 / person
                        :ARG0-of (b / buy-01
                              :purpose (p7 / panic-01))
                        :mod (c2 / country
                              :name (n3 / name
                                    :op1 ""UK"")))
                  :ARG2 (t5 / think-01
                        :ARG0 p6
                        :ARG1 (p8 / person
                              :ARG0-of (w2 / work-01
                                    :mod (f4 / frontline)))))
            :ARG4 (u2 / url-entity
                  :value ""https://t.co/QvU41coY6N""))
      :snt4 (p9 / publication
            :name (n4 / name
                  :op1 ""Hypocrite"")))"
"(m / multi-sentence
      :snt1 (c / concern-02
            :ARG0 (v / virus
                  :mod (c2 / coronavirus))
            :ARG1 (t / take-01
                  :ARG0 (e / everyone)
                  :ARG1 (e2 / easy-05)
                  :ARG2 (p / paper
                        :purpose (t2 / toilet))))
      :snt2 (d / deal-03
            :polarity -
            :ARG1 (ii / it)
            :mod (b / big))
      :snt3 (p2 / paper
            :purpose (t3 / toilet)
            :mod (j / just))
      :snt4 (f / fair-01
            :polarity -
            :ARG1 (t4 / take-01
                  :ARG0 (y / you)
                  :ARG1 (ii2 / it
                        :mod (a / all))
                  :ARG1-of (c3 / cause-01
                        :ARG0 (n / need-01
                              :ARG0 (p3 / person
                                    :quant (l / lot))
                              :ARG1 ii2)))))"
"(m / multi-sentence
      :snt1 (o / obligate-01
            :ARG2 (t / thing
                  :ARG2-of (p / price-01
                        :ARG3 (t2 / tax-01
                              :ARG3 (ii / income)))
                  :domain (t3 / this)
                  :mod (s / still))
            :polarity (a / amr-unknown))
      :snt2 (a2 / amr-unknown
            :topic (d / deal-01
                  :ARG2 (p2 / product
                        :name (n / name
                              :op1 ""Covid-19"")))))"
"(m / multi-sentence
      :snt1 (e / evidence-01
            :polarity -
            :ARG1 (c / cause-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Covid19""))
                  :ARG1 (e2 / emergency
                        :mod (s / security
                              :mod (f / food))
                        :location (c2 / country
                              :name (n2 / name
                                    :op1 ""Mzansi"")))))
      :snt2 (a / and
            :op1 (p2 / possible-01
                  :polarity -
                  :ARG1 (a2 / afford-01
                        :ARG0 (p3 / person
                              :mod (c3 / country
                                    :name (n3 / name
                                          :op1 ""South""
                                          :op2 ""Africa""))
                              :quant (m2 / most))
                        :ARG1 (b / buy-01
                              :ARG0 p3
                              :manner (b2 / bulk))))
            :op2 (r / recommend-01
                  :ARG1 (r2 / refrain-01
                        :ARG0 p3
                        :ARG1 b))
            :ARG1-of (s2 / say-01
                  :ARG0 (p4 / person
                        :name (n4 / name
                              :op1 ""Dr.""
                              :op2 ""Sifiso""
                              :op3 ""Ntombela"")
                        :ARG0-of (h / have-org-role-91
                              :ARG1 (o / organization
                                    :name (n5 / name
                                          :op1 ""NAMC""))
                              :ARG2 (e3 / economist
                                    :mod (c4 / chief))))))
      :snt3 a
      :op1 (p5 / publication
            :name (n6 / name
                  :op1 ""Covid19SouthAfrica""))
      :op2 (p6 / publication
            :name (n7 / name
                  :op1 ""https://t.co/aMJz0GRY6y"")))"
"(r / recommend-01
      :ARG1 (a / and
            :op1 (s / sing-01
                  :ARG0 (e / everybody)
                  :ARG1 (s2 / song
                        :name (n / name
                              :op1 ""Don't""
                              :op2 ""Stand""
                              :op3 ""Don't""
                              :op4 ""Stand"")
                        :ARG1-of (c / close-06
                              :ARG2 (ii / i)
                              :degree (s3 / so))))
            :op2 (p / play-11
                  :ARG0 e
                  :ARG1 s2)
            :location (s4 / supermarket
                  :mod (e2 / every))))"
"(a / and
      :op1 (b / be-temporally-at-91
            :ARG1 (ii / it)
            :ARG2 (d / date-entity
                  :time ""17:16""))
      :op2 (b2 / buckle-up-02
            :mode imperative
            :ARG0 (y / you)
            :ARG1 y
            :ARG1-of (c / cause-01
                  :ARG0 (n / now
                        :time-of (c2 / complain-01
                              :ARG0 (a2 / asshole
                                    :quant (h / horde)
                                    :mod (b3 / bourgeois)
                                    :ARG1-of (ii2 / inconvenience-01
                                          :ARG0 (v / virus
                                                :mod (c3 / coronirus))
                                          :degree (m / mild)))
                              :ARG1 (s / stick-01
                                    :ARG1 a2
                                    :ARG2 (ii3 / inside)
                                    :accompanier (a3 / and
                                          :op1 (f / furniture
                                                :mod (m2 / midcentury)
                                                :poss a2)
                                          :op2 (s2 / slash
                                                :op1 (d2 / dog)
                                                :op2 (c4 / child))
                                          :op3 (ii4 / internet
                                                :mod (s3 / speed
                                                      :ARG1-of (h2 / high-02)))
                                          :op4 (s4 / service
                                                :mod (s5 / stream-03)
                                                :quant (m3 / multiple))
                                          :op5 (s6 / shop-01
                                                :medium (o / online))
                                          :op6 (t / thing
                                                :name (n2 / name
                                                      :op1 ""Ea"")
                                                :mod (u / uber)))
                                    :duration (d3 / day
                                          :mod (a4 / all))))))))"
"(h / hyperlink-91
      :ARG1 (p / publication-91
            :ARG1 (c / clean-up-02
                  :location (a / aisle
                        :mod 3
                        :time (d / date-entity
                              :time ""16:16"")))
            :ARG4 (u / url-entity
                  :value ""https://t.co/MJErk9WCGi""
                  :ARG3-of h))
      :value ""https://www.theguardian/society/2006/jul/16/disaster"")"
"(f / feel-01
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / burn-01)
      :ARG1-of (r / request-confirmation-91)
      :ARG1-of (d / describe-01
            :ARG0 (p / publication
                  :name (n / name
                        :op1 ""Global""
                        :op2 ""Coronavirus""
                        :op3 ""SanitIZER"")
                  :medium (u / url-entity
                        :value ""https://t.co/lcs8LSulx6""))))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (w / work-01
                  :ARG0 (y / you)
                  :location (h / home))
            :op2 (u / use-01
                  :polarity -
                  :ARG0 y
                  :ARG1 (t / ticket
                        :mod (s / season)
                        :poss y)))
      :snt2 (c / contrast-01
            :ARG1 (p / possible-01
                  :ARG1 (e / entitle-01
                        :ARG1 (r / refund-01
                              :ARG2 (y2 / you))
                        :ARG2 y2))
            :ARG2 (p2 / possible-01
                  :ARG1 (d / disappoint-01
                        :ARG0 (t2 / thing
                              :ARG1-of (g / get-01
                                    :ARG0 y2))
                        :ARG1 y2))))"
"(m / multi-sentence
      :snt1 (f / fail-01
            :ARG1 (b / business
                  :mod (p / physical))
            :ARG1-of (c / cause-01
                  :ARG0 (v / virus
                        :name (n / name
                              :op1 ""Coronavirus""))))
      :snt2 (a / and
            :op1 (p2 / possible-01
                  :ARG1 (s / set-up-03
                        :ARG0 (ii / i)
                        :ARG1 (s2 / store
                              :mod (o / online)
                              :poss (y / you)
                              :mod (c2 / company
                                    :name (n2 / name
                                          :op1 ""Shopify"")))
                        :ARG1-of (c3 / cost-01
                              :ARG2 (m2 / monetary-quantity
                                    :ARG1-of (c4 / cheap-02
                                          :mod (d / dirt))))))
            :op2 (p3 / possible-01
                  :ARG1 (t / train-01
                        :ARG0 ii
                        :ARG1 (a2 / advertise-01
                              :medium (p4 / publication
                                    :name (n3 / name
                                          :op1 ""Facebook""))
                              :ARG1-of (f2 / free-03)
                              :example (r / restaurant
                                    :mod (r2 / retail)))
                        :ARG2 y))))"
"(m / multi-sentence
      :snt1 (s / start-01
            :ARG0 (p / person)
            :ARG1 (s2 / steal-01
                  :ARG0 p
                  :ARG1 (a / and
                        :op1 (s3 / sanitiser
                              :source (h / hospital))
                        :op2 (f / food
                              :source (b / bin
                                    :location (s4 / supermarket)
                                    :location-of (d / donate-01)))))
            :time (t / think-01
                  :ARG0 (y / you)
                  :ARG1 (s5 / sink-01
                        :ARG1 (p2 / person)
                        :ARG4 (l / low-04
                              :ARG2-of (h2 / have-degree-91
                                    :ARG1 s5
                                    :ARG3 (m2 / more
                                          :mod (a2 / any)))))))
      :snt2 (s6 / selfish
            :degree (b2 / beyond)
            :domain (y2 / you
                  :mod (c / country
                        :name (n / name
                              :op1 ""UK""))))
      :snt3 (s7 / stay-01
            :ARG1 (p3 / person
                  :mod s6))
      :ARG3 (c2 / classy-02
            :ARG1 p3)
      :snt4 (p4 / person
            :mod s6)
      :snt5 (s8 / stop-01
            :mode imperative
            :ARG0 (y3 / you)
            :ARG1 (h3 / hoard-01
                  :ARG0 y3
                  :ARG1 (v / virus
                        :mod (c3 / coronavirus)))))"
"(m / multi-sentence
      :snt1 (e / enjoy-01
            :ARG0 (ii / i)
            :ARG1 (a / and
                  :op1 (d / describe-01
                        :ARG0 ii
                        :ARG1 (t / trip-03
                              :ARG0 ii
                              :ARG1 (s / supermarket)
                              :mod (a2 / any))
                        :ARG2 (h / have-condition-91
                              :ARG1 (o / out-06
                                    :ARG1 ii
                                    :ARG2 (b / buy-01
                                          :ARG0 ii
                                          :manner (p / panic-01
                                                :ARG1 ii)))
                              :ARG2 (n / need-01
                                    :ARG0 (y / you)
                                    :ARG1 ii)))
                  :op2 (r / return-01
                        :ARG1 ii
                        :accompanier (ii2 / item
                              :quant 6
                              :mod (u / usual))
                        :time (t2 / then))))
      :snt2 (s2 / shut-down-05
            :ARG1 (c / country
                  :name (n2 / name
                        :op1 ""Australia"")))
      :snt3 (e2 / event
            :name n2
            :op1 ""COVID""
            :op2 2019))"
"(m / multi-sentence
      :snt1 (p / product
            :name (n / name
                  :op1 ""OdoBan"")
            :polarity (a / amr-unknown)
            :mod (p2 / product
                  :name (n2 / name
                        :op1 ""Eucalyptus""
                        :op2 ""Sanitizer"")
                  :quant (b / bottle
                        :quant (m2 / mass-quantity
                              :quant 27
                              :unit (o / ounce)))
                  :ARG1-of (p3 / perfect-02
                        :polarity -)))
      :snt2 (k / kill-01
            :ARG0 (p4 / product
                  :name (n3 / name
                        :op1 ""OdoBan""))
            :ARG1 (b2 / bacterium
                  :quant (p5 / percentage-entity
                        :value 99.99)))
      :snt3 (u / url-entity
            :value ""https://t.co/H3VkqjMuPj #coronavirus #covid_19 #covid19""))"
"(m / multi-sentence
      :snt1 (a / achieve-01
            :ARG0 (b / brand
                  :mod (c / company
                        :name (n / name
                              :op1 ""CPG"")))
            :ARG1 (p / purpose)
            :manner (a2 / aid-01
                  :ARG0 b
                  :ARG2 (f / fight-01
                        :ARG1 (c2 / criminal-organization
                              :name (n2 / name
                                    :op1 ""COVID-19"")))))
      :snt2 (u / url-entity
            :value ""https://t.co/QNgfu5FM4s""))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Trump""))
            :ARG1 (h / have-03
                  :ARG0 (y / you)
                  :ARG1 (m2 / mouth
                        :mod (p2 / potty)
                        :mod (s2 / such))
                  :prep-with (p3 / person
                        :ARG0-of (r / report-01)
                        :mod (g / great)
                        :mod (e / especially))))
      :snt2 (a / and
            :op2 (s3 / secure
                  :polarity -
                  :domain (y2 / you))
            :op3 (k / kill-01
                  :ARG0 y2
                  :ARG1 (c / country
                        :name (n2 / name
                              :op1 ""America""))))
      :snt3 (b / become-01
            :ARG1 (f / find-01
                  :ARG1 (p4 / paper
                        :purpose (t / toilet)))
            :ARG2 (c2 / challenge-01
                  :ARG2 (v / virus))
            :time (n3 / now))
      :snt4 (m3 / more
            :polarity -)
      :snt5 s
      :ARG0 (ii / i)
      :ARG2 (p5 / person
            :name (n4 / name
                  :op1 ""Trevornoah""))
      :snt6 (p6 / person
            :name (n5 / name
                  :op1 ""jimmykimmel""))
      :snt7 (p7 / person
            :name (n6 / name
                  :op1 ""jimmyfallon""))
      :snt8 (a2 / amr-unintelligible
            :value ""iamwandasykes""))"
"(m / multi-sentence
      :snt1 (s / serve-01
            :ARG0 (a / and
                  :op1 (p / person
                        :name (n / name
                              :op1 ""Troy""
                              :op2 ""Jenkins""))
                  :op2 (p2 / person
                        :name (n2 / name
                              :op1 ""Matthew""
                              :op2 ""White"")))
            :ARG1 (p3 / present-01
                  :ARG0 a
                  :ARG1 (w / webinar
                        :location (b / below)
                        :mod (o / organization
                              :name (n3 / name
                                    :op1 ""Third""
                                    :op2 ""Party""
                                    :op3 ""Payroll""
                                    :op4 ""Processors""
                                    :op5 ""Association""))
                        :time (d / date-entity
                              :day 14
                              :month 4
                              :year 2020
                              :time ""14:00""
                              :timezone ""ET""
                              :weekday (t / tuesday)))))
      :snt2 (p4 / protect-01
            :ARG1 (p5 / person
                  :ARG0-of (c / consume-01))
            :medium (u / url-entity
                  :value ""https://t.co/DZWzE43Gst"")))"
"(m / multi-sentence
      :snt1 (b / be-temporally-at-91
            :ARG2 (d / date-entity
                  :time ""6:00"")
            :location (s / supermarket
                  :name (n / name
                        :op1 ""Asda"")
                  :location (c / city-district
                        :name (n2 / name
                              :op1 ""Waleside"")
                        :part-of (c2 / city
                              :name (n3 / name
                                    :op1 ""London"")))))
      :snt2 (s2 / shop-01)
      :snt3 (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/AHMkpidNmS""))
      :snt4 (v / virus
            :name (n4 / name
                  :op1 ""Coronavirus"")))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (a / and
                  :op1 (c / corrupt-01
                        :ARG1 (ii2 / it))
                  :op2 (r / recommend-01
                        :ARG1 (ii3 / investigate-01
                              :ARG1 ii2)))
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""Leah52179778"")
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (o / organization
                              :name (n2 / name
                                    :op1 ""TravelersOrg"")))))
      :snt2 (f / file-01
            :mode imperative
            :polite +
            :ARG0 (y / you)
            :ARG1 (c2 / complain-01
                  :ARG0 y)
            :medium (u / url-entity
                  :value ""https://t.co/gP3EusapL8""))
      :snt3 (ii4 / issue-01
            :polarity -
            :ARG0 (c3 / company
                  :name (n3 / name
                        :op1 ""FlyFrontier""))
            :ARG1 (r2 / refund-01
                  :ARG0 c3
                  :ARG2 (p2 / person
                        :ARG1-of (e / employ-01
                              :ARG0 (g / government-organization
                                    :ARG0-of (g2 / govern-01)))
                        :ARG1-of (r3 / require-01
                              :ARG0 (l / law
                                    :name (n4 / name
                                          :op1 ""CODID""
                                          :op2 19))
                              :purpose (c4 / cancel-01
                                    :ARG0 p2
                                    :ARG1 (t / travel-01)))))))"
"(m / multi-sentence
      :snt1 (o / observe-01
            :time (s / shop-01
                  :ARG0 (ii / i)
                  :ARG1 (p / product
                        :name (n / name
                              :op1 ""TP""))
                  :medium (o2 / online))
            :mod (j / just))
      :snt2 (m2 / make-02
            :ARG0 (s2 / site
                  :mod (s3 / some))
            :ARG1 (k / know-01
                  :ARG0 (y / you)
                  :ARG1 (t / truth-value
                        :polarity-of (s4 / slash
                              :op1 (s5 / stock-01
                                    :polarity -
                                    :ARG1 (ii2 / it))
                              :op2 (a / available-02
                                    :polarity -
                                    :ARG2 ii2)))
                  :time (ii3 / immediate))
            :snt3 m2
            :ARG0 (s6 / site
                  :mod (o3 / other))
            :ARG1 (d / dig-01
                  :ARG0 y
                  :ARG1-of (d2 / deep-02
                        :ARG2-of (h / have-degree-91
                              :ARG1 d
                              :ARG3 (m3 / more)))
                  :ARG0-of (d3 / disappoint-01
                        :ARG1 y
                        :mod (o4 / only))))
      :snt4 (u / use-01
            :ARG0 (c / company
                  :name (n2 / name
                        :op1 ""Target""))
            :ARG1 (a2 / approach-02
                  :ARG0 c
                  :ARG1 (g / get-04
                        :ARG0 c
                        :ARG1 (h2 / hope-01
                              :ARG0 y)
                        :direction (u2 / up)))
            :subevent (w / win-01
                  :ARG0 c
                  :ARG2 (c2 / click-01
                        :ARG0 c
                        :ARG0-of (d4 / disappoint-01
                              :ARG1 y)
                        :ARG1-of (h3 / have-quant-91
                              :ARG3 (m4 / most)))))
      :snt5 (e / event
            :name (n3 / name
                  :op1 ""COVID2019"")))"
"(s / say-01
      :ARG0 (ii / i)
      :ARG1 (c / concern-01
            :ARG0 (ii2 / impact-01
                  :ARG0 (l / law
                        :name (n / name
                              :op1 ""COVID""
                              :op2 19)))
            :ARG1 (p / person
                  :ARG1-of (e / expert-01
                        :ARG2 (r / right-05
                              :ARG1 (p2 / person
                                    :ARG0-of (s2 / staff-01
                                          :ARG1 (s3 / shop))))
                        :mod (l2 / law))))
      :ARG2 (p3 / person
            :name (n2 / name
                  :op1 ""Claire""
                  :op2 ""Piper1"")))"
"(u / update-02
      :ARG2 (s / stagnate-01
            :ARG1 (p / price-01
                  :ARG1 (a / and
                        :op1 (p2 / petrol)
                        :op2 (d / diesel)))
            :time (t / today)
            :duration (t2 / temporal-quantity
                  :quant 22
                  :unit (d2 / day))
            :ARG1-of (c / cause-01
                  :ARG0 (l / lock-down-06
                        :ARG1 (c2 / city
                              :name (n / name
                                    :op1 ""Covid_19"")))))
      :medium (u2 / url-entity
            :value ""https://t.co/iGQW8qHdaQ""))"
"(a / and
      :op1 (w / wait-01
            :ARG1 (d / dog)
            :location (ii / in-front-of
                  :op1 (s / supermarket
                        :location (c / country
                              :name (n / name
                                    :op1 ""Croatia"")))))
      :op2 (p / publication
            :name (n2 / name
                  :op1 ""CoronaPandemie""))
      :op3 (p2 / publication
            :name (n3 / name
                  :op1 ""COVID2019""))
      :op4 (p3 / publication
            :name (n4 / name
                  :op1 ""Coronavirus"")))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :ARG1-of (ii / include-91
                        :ARG2 (p2 / person
                              :mod (c / country
                                    :name (n / name
                                          :op1 ""United""
                                          :op2 ""States"")))
                        :ARG3 (p3 / percentage-entity
                              :value 48))
                  :ARG1-of (u / up-02
                        :ARG3 (p4 / percentage-entity
                              :value 40
                              :time (d / date-entity
                                    :month 12
                                    :year 2019))))
            :ARG1 (o / obligate-01
                  :ARG2 (h / have-03
                        :ARG0 p2
                        :ARG1 (p5 / product
                              :name (n2 / name
                                    :op1 ""Netflix""))
                        :purpose (e / entertain-01)))
            :time (d2 / date-entity
                  :month 2
                  :year 2020))
      :snt2 (p6 / possible-01
            :ARG1 (c2 / change-01
                  :ARG1 (f / figure
                        :mod (t / this))
                  :ARG1-of (c3 / cause-01
                        :ARG0 (a / and
                              :op1 (s2 / stay-01
                                    :ARG1 (p7 / person
                                          :mod c)
                                    :location (h2 / home))
                              :op2 (p8 / practice-01
                                    :ARG0 p7
                                    :ARG1 (d3 / distance-01
                                          :ARG1 p7
                                          :ARG2 (s3 / society)))
                              :time (p9 / pandemic
                                    :name (n3 / name
                                          :op1 ""COVID-19"")))))))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (ii / i)
                        :ARG2 (g / grandmother)))
            :ARG1 (g2 / go-02
                  :mode imperative
                  :ARG0 (y / you)
                  :ARG4 (s2 / store
                        :mod (g3 / grocery))
                  :beneficiary ii))
      :snt2 (s3 / say-01
            :ARG0 (ii2 / i)
            :ARG1 (g4 / go-01
                  :mode imperative
                  :ARG1 ii2
                  :ARG4 s2)
            :ARG1-of (r / request-confirmation-91))
      :snt3 (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/BD9UDLfrgt""))
      :snt4 (c / coronavirus
            :time (d / date-entity
                  :year 2019)))"
"(w / wear-01
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / balaclava
            :poss (ii / i))
      :location (s / store
            :mod (g / grocery))
      :mod (e / event
            :name (n / name
                  :op1 ""COVID2019""))
      :mod (s2 / stay-01
            :ARG3 (s3 / safe-01)))"
"(s / say-01
      :ARG0 (b / boss
            :mod (s2 / supermarket)
            :mod (n / news))
      :ARG1 (r / remain-01
            :ARG1 (l / limit-01
                  :ARG1 (b2 / buy-01))
            :time (n2 / now)))"
"(s / say-01
      :ARG0 (ii / i)
      :ARG1 (a / and
            :op1 (o / organization
                  :name (n / name
                        :op1 ""5hourenergy""))
            :op2 (p / paper
                  :purpose (t / toilet)))
      :ARG2 (e / everything
            :ARG1-of (n2 / need-01
                  :ARG0 (y / you)
                  :purpose (s2 / survive-01
                        :ARG0 y
                        :ARG1 (v / virus
                              :mod (c / coronavirus)))))
      :ARG1-of (r / request-confirmation-91))"
"(m / multi-sentence
      :snt1 (a / alternative
            :domain (o / order-02
                  :ARG1 (s / shop-01
                        :ARG2 (a2 / address
                              :ARG1-of (r / restrict-01)))
                  :medium (o2 / online))
            :ARG1-of (ii / instead-of-91
                  :ARG2 (b / book
                        :ARG1-of (r2 / ration-01))))
      :snt2 (h / have-03
            :ARG1 (o3 / order-02
                  :ARG1 (p / person
                        :ARG0-of (a3 / access-01
                              :polarity -
                              :ARG1 (ii2 / internet)))
                  :medium (p2 / phone)))
      :snt3 (a4 / and
            :op1 (p3 / possible-01
                  :ARG1 (r3 / rethink-01
                        :ARG0 (w / we)
                        :ARG1 (m2 / model-01
                              :ARG0 w
                              :ARG1 (e / economy)
                              :topic (v / virus
                                    :mod (c / coronavirus)))
                        :manner (r4 / rapid)))
            :op2 (n / need-01
                  :ARG0 w
                  :ARG1 r3))
      :snt4 (h2 / have-03
            :ARG1 (o4 / or
                  :op1 (c2 / collect-01
                        :ARG2 (s2 / supermarket))
                  :op2 (d / deliver-01
                        :ARG2 s2)
                  :mod (o5 / only))
            :time (t / then)))"
"(m / multi-sentence
      :snt1 (s / send-01
            :ARG0 (t / they)
            :ARG1 (t2 / thing
                  :ARG2-of (a / advise-01
                        :ARG0 (o / organization
                              :name (n / name
                                    :op1 ""Covid-19"")))
                  :ARG0-of (t3 / tell-01
                        :ARG1 (c / confirm-01
                              :ARG1 (c2 / case-04)
                              :location (a2 / area
                                    :poss t))
                        :ARG2 (c3 / citizen
                              :poss t
                              :ARG2-of s)))
            :mod (e / even))
      :snt2 (s2 / show-01
            :ARG0 (m2 / map
                  :mod (v / virus
                        :name (n2 / name
                              :op1 ""corona"")))
            :ARG1 (t4 / thing
                  :degree-of (r / recent
                        :domain (b / be-located-at-91
                              :ARG1 (c4 / case-04
                                    :ARG1-of (c5 / confirm-01))
                              :ARG2 (p / place
                                    :mod (c6 / certain)
                                    :example (a3 / and
                                          :op1 (s3 / station
                                                :mod (b2 / bus))
                                          :op2 (p2 / pharmacy)
                                          :op3 (s4 / supermarket))))))
            :mod (e2 / even)))"
"(m / multi-sentence
      :snt1 (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/4JDzLcT3QF""))
      :snt2 (c / cause-01
            :ARG0 (c2 / contrast-01
                  :ARG1 (b / be-located-at-91
                        :ARG1 (ii / it)
                        :ARG2 (l / language
                              :name (n / name
                                    :op1 ""German"")))
                  :ARG2 (s / sure-02
                        :ARG0 (ii2 / i)
                        :ARG1 (f / figure-out-05
                              :ARG0 (y / you)
                              :ARG1 ii)))
            :ARG1 (c3 / calculate-01
                  :ARG1 (p / paper
                        :purpose (t / toilet)))))"
"(c / contrast-01
      :ARG1 (m / message-01
            :ARG0 (g / government-organization
                  :ARG0-of (g2 / govern-01))
            :ARG1 (p / panic-01
                  :polarity -
                  :mode imperative
                  :ARG0 (y / you))
            :ARG3 (a / available-02
                  :ARG2 (ii / item
                        :mod (f / food))))
      :ARG2 (s / seem-01
            :ARG1 (d / differ-02
                  :ARG1 (r / reality
                        :mod (g3 / ground)))
            :ARG1-of (e / explain-01
                  :ARG0 e)))"
"(m / multi-sentence
      :snt1 (l / limit-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (a / and
                  :op1 (m2 / meat)
                  :op2 (p / produce)
                  :op3 (ii / item
                        :mod (f / food)
                        :mod (o / other)
                        :ARG1-of (d / demand-01
                              :ARG1-of (h / high-02)))))
      :snt2 (p2 / possible-01
            :polarity -
            :ARG1 (e / eat-01
                  :ARG0 (p3 / person)
                  :ARG1 (a2 / and
                        :op1 (p4 / product
                              :consist-of (p5 / paper))
                        :op2 (d2 / disinfectant))))
      :snt3 (a3 / and
            :op1 (c / company
                  :name (n / name
                        :op1 ""Shaws""))
            :op2 (c2 / company
                  :name (n2 / name
                        :op1 ""Hannaford""))
            :op3 (c3 / company
                  :name (n3 / name
                        :op1 ""PriceChopper""))
            :op4 (c4 / company
                  :name (n4 / name
                        :op1 ""StopandShop""))
            :op5 (c5 / company
                  :name (n5 / name
                        :op1 ""MarketBasket""))
            :op6 (c6 / company
                  :name (n6 / name
                        :op1 ""Publix""))
            :op7 (c7 / company
                  :name (n7 / name
                        :op1 ""WholeFoods""))
            :op8 (v / virus
                  :mod (c8 / coronavirus))
            :op9 (g / grocerystore)
            :op10 (u / update-02
                  :ARG1 v)
            :op11 (l2 / lock-down-03)))"
"(m / multi-sentence
      :snt1 (r / restore-01
            :ARG1 (c / calm-03)
            :time (d / date-entity
                  :dayperiod (m2 / morning)
                  :mod (t / today))
            :location (s / supermarket
                  :name (n / name
                        :op1 ""Asda"")
                  :location (c2 / city-district
                        :name (n2 / name
                              :op1 ""Wembley"")
                        :part-of (c3 / city
                              :name (n3 / name
                                    :op1 ""London"")))))
      :snt2 (m3 / make-02
            :ARG0 (d2 / day)
            :ARG1 (d3 / differ-02
                  :degree (a / amr-unknown))))"
"(m / multi-sentence
      :snt1 (p / promise-01
            :ARG0 (w / we)
            :ARG2 (h / hoard-01
                  :polarity -
                  :ARG0 w))
      :snt2 (p2 / possible-01
            :ARG1 (k / know-01
                  :ARG0 (a / amr-unknown)
                  :ARG1 (r / relate-01
                        :ARG1 (t / thing
                              :ARG1-of (d / donate-01
                                    :ARG2 (c / collection
                                          :mod (m2 / museum)
                                          :poss (w2 / we))
                                    :time (b / before
                                          :op1 (n / now)
                                          :quant (m3 / multiple
                                                :op1 (t2 / temporal-quantity
                                                      :quant 1
                                                      :unit (y / year))))))
                        :ARG2 (ii / item
                              :ARG1-of (d2 / demand-01
                                    :ARG1-of (h2 / high-02)
                                    :time (p3 / pandemic
                                          :mod (v / virus
                                                :mod (c2 / coronavirus))
                                          :mod (c3 / current)))))))
      :snt3 (o / object
            :mod (m4 / museum)
            :ARG1-of (r2 / real-04)
            :location (p4 / place
                  :ARG2-of (s / store-01)
                  :mod (p5 / proper))
            :domain (p6 / photo
                  :ARG1-of (s2 / stage-01
                        :polarity -)
                  :mod (t3 / this)))
      :snt4 (a2 / and
            :op1 (p7 / paper
                  :purpose (t4 / toilet))
            :op2 (w3 / wet-01
                  :ARG1 (w4 / wipe-01))
            :ARG1-of (h3 / hyperlink-91
                  :ARG3 (u / url-entity
                        :value ""https://t.co/fg51TPA5Ex""))))"
"(m / mood
      :time (c / current)
      :poss (c2 / colleague
            :mod (s / supermarket)
            :mod (e / every))
      :mod (v / virus
            :mod (c3 / coronavirus))
      :ARG1-of (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/TkFqg0VUZg"")))"
"(s / see-01
      :ARG0 (p / person
            :ARG0-of (f / farm-01))
      :ARG1 (a / and
            :op1 (r / rot-01
                  :ARG1 (p2 / produce)
                  :location (f2 / field))
            :op2 (w / wash-01
                  :ARG1 (d / dairy)
                  :ARG2 (d2 / drain)
                  :direction (d3 / down)))
      :time (r2 / rush-01
            :ARG1 p
            :ARG2 (a2 / and
                  :op1 (f3 / find-01
                        :ARG0 p
                        :ARG1 (a3 / area
                              :location-of (d4 / demand-01)))
                  :op2 (p3 / prevent-01
                        :ARG0 p
                        :ARG1 (c / close-01))))
      :ARG1-of (d5 / describe-01
            :ARG0 (p4 / publication-91
                  :ARG4 (u / url-entity
                        :value ""https://t.co/OMWF0RHhDZ #coronavirus #supplychain""))))"
"(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (o / out-05
                  :ARG1 (y / you)
                  :ARG2 (f / food))
            :ARG1 (r / risk-01
                  :ARG0 y
                  :ARG2 (s / supermarket)))
      :snt2 (h / have-03
            :ARG0 (n / no-one)
            :ARG1 (c2 / clue)
            :mod (s2 / still))
      :snt3 (a / and
            :op1 (m2 / Mimble-01
                  :ARG0 (a2 / all)
